T,liquide,vapeur
377.31,0.9999198612,0.9999663706
379.31,0.9106673457,0.9602285273
381.31,0.8262181525,0.9179754654
383.31,0.7462378636,0.8731056995
385.31,0.6704183886,0.8255152191
387.31,0.5984756629,0.7750974761
389.31,0.5301475655,0.7217433752
391.31,0.4651920347,0.6653412638
393.31,0.4033853605,0.6057769241
395.31,0.3445206373,0.542933566
397.31,0.2884063583,0.4766918209
399.31,0.2348651398,0.4069297372
400,0.2169602194,0.3820225467
401.31,0.1837325609,0.333522776
403.31,0.1348561078,0.2563438089
405.31,0.08809421253,0.175263116
407.31,0.04331537697,0.09014838566
409.33,0,0